Date,Open,High,Low,Close,Trend,Near support,Near resistance,Far support,Far resistance,Shares,Price,Cash,PnL,N_far,N_near
2022-04-11,440.39075305179466,441.27331420596965,435.71031009646197,436.2358703613281,-1.0,442.2054535434022,446.8561793032968,439.81564151209,446.91568347666197,-1.0,,459.9456285539601,23.709758192631966,2.0,1.0
2022-04-12,439.3694015840261,442.01705491416277,432.9932570508383,434.6195373535156,-1.0,435.71031009646197,441.27331420596965,435.71031009646197,446.8561793032968,-1.0,,459.9456285539601,25.326091200444466,2.0,1.0
2022-04-13,434.36169201086005,440.39076139490294,434.17328075554553,439.59747314453125,-1.0,432.9932570508383,442.01705491416277,432.9932570508383,442.01705491416277,-1.0,,459.9456285539601,20.34815540942884,2.0,1.0
2022-04-14,439.835460328614,441.00560136960956,434.01462372496155,434.12371826171875,-1.0,434.17328075554553,440.39076139490294,432.9932570508383,442.01705491416277,-1.0,,459.9456285539601,25.82191029224134,2.0,1.0
2022-04-18,433.1519263802762,436.06730773183745,431.96196369155433,434.3022155761719,-1.0,434.01462372496155,441.00560136960956,434.01462372496155,441.00560136960956,-1.0,,459.9456285539601,25.643412977788216,2.0,1.0
2022-04-19,434.1930947198821,442.06660302722275,434.0146094059943,441.31298828125,1.0,431.96196369155433,436.06730773183745,431.96196369155433,441.00560136960956,0.0,436.06730773183745,23.878320822122646,23.878320822122646,2.0,1.0
2022-04-20,443.17726233854705,443.8218128328768,439.7660683471935,440.9857482910156,1.0,434.0146094059943,442.06660302722275,431.96196369155433,442.06660302722275,0.0,,23.878320822122646,23.878320822122646,2.0,1.0
2022-04-21,444.78369474686116,446.2413853915548,433.43949700113836,434.3914489746094,1.0,439.7660683471935,443.8218128328768,434.0146094059943,443.8218128328768,1.0,439.7660683471935,-415.88774752507084,18.50370144953854,2.0,1.0
2022-04-22,433.25107052248364,434.41125532958233,421.87712562282195,422.47210693359375,-1.0,431.96196369155433,446.2413853915548,431.96196369155433,446.2413853915548,0.0,431.96196369155433,16.074216166483495,16.074216166483495,7.0,6.0
2022-04-25,420.1219538482033,425.0999025485545,415.332386136087,424.9214172363281,-1.0,421.87712562282195,446.2413853915548,421.87712562282195,446.2413853915548,-1.0,446.2413853915548,462.3156015580383,37.394184321710156,7.0,6.0
2022-04-26,422.2638527212785,422.47211585475065,412.58560889224606,412.6153564453125,-1.0,415.332386136087,446.2413853915548,415.332386136087,446.2413853915548,-1.0,,462.3156015580383,49.70024511272578,7.0,6.0
2022-04-27,413.74579565968503,419.3782512500081,411.53449026005103,413.7755432128906,-1.0,412.58560889224606,446.2413853915548,412.58560889224606,446.2413853915548,-1.0,,462.3156015580383,48.540058345147656,7.0,6.0
