Date,Open,High,Low,Close,Trend,Near support,Near resistance,Far support,Far resistance,Shares,Price,Cash,PnL,N_far,N_near
2022-02-10,173.35574033020816,174.68970184398432,170.77740833192377,171.34483337402344,0.0,,,,,0.0,,0.0,0.0,,
2022-02-11,171.5539080773467,172.30053042801637,167.28321972507666,167.88052368164062,0.0,,,,,0.0,,0.0,0.0,,
2022-02-14,166.61623643548782,168.81629027969024,165.80988673917378,168.11944580078125,0.0,,,,,0.0,,0.0,0.0,,
2022-02-15,170.20002991451724,172.17110863974193,169.48327125260457,172.01182556152344,0.0,,,,,0.0,,0.0,0.0,,
2022-02-16,171.07607421114074,172.5593542277633,169.28417752958163,171.77291870117188,0.0,,,,,0.0,,0.0,0.0,,
2022-02-17,170.2597570981597,171.13579883739982,167.71128860953797,168.11944580078125,0.0,,,,,0.0,,0.0,0.0,,
2022-02-18,169.05520980399945,169.77195325352088,165.4415529285655,166.5465545654297,0.0,,,,,0.0,,0.0,0.0,,
2022-02-22,164.2369873752477,165.9392928568214,161.41973081666197,163.57997131347656,0.0,,,,,0.0,,0.0,0.0,,
2022-02-23,164.79447259961125,165.40172603047597,159.03055494441176,159.34912109375,0.0,,,,,0.0,,0.0,0.0,,
2022-02-24,151.89284790941298,162.11660055239162,151.31545815417417,162.00709533691406,0.0,,,,,0.0,,0.0,0.0,,
2022-02-25,163.10212862313415,164.3763628162782,160.14550306199234,164.1075897216797,0.0,,,,,0.0,,0.0,0.0,,
2022-02-28,162.3256529804338,164.67502527189285,161.6984853395987,164.37637329101562,0.0,,,,,0.0,,0.0,0.0,,
2022-03-01,163.95825621648387,165.849708515611,161.24055526165984,162.4650115966797,0.0,,,,,0.0,,0.0,0.0,,
2022-03-02,163.64966521520103,166.60629096653253,162.21614785818323,165.8098907470703,0.0,,,,,0.0,,0.0,0.0,,
2022-03-03,167.71128651326146,168.14930737740656,164.8044387303815,165.4813690185547,0.0,,,,,0.0,,0.0,0.0,,
2022-03-04,163.74921272116143,164.80443650321237,161.3699768685901,162.43515014648438,0.0,,,,,0.0,,0.0,0.0,,
2022-03-07,162.6243091933775,164.2768370325082,158.32375701299947,158.5825958251953,0.0,,,,,0.0,,0.0,0.0,,
